tid,species,version,language,flavor_text
218475,rec-836-dup-0,,12,电力增强了它的脚力当以最高速度奔跑时速可以轻易超过９０公里
208007,id-407,34,7,"Las toxinas de la mano derecha son de efecgoinmed:ato, y las de la izquierda, retardado. Noobstante, ambas pueden ser letales."
210550,id-598,34,11,
217271,rec-857-dup-0,,3,강한 감정을 품은 자라면누가 됐든 조용하게 만드는데그 수단이 매우 난폭하다.
204325,id-83,34,5,Il se bat à l’aide de sa tige. Il sxiste plusieursécoles quant à son majiement.
220965,rec-520-dup-1,34,11,賢く　物覚えが　いい配達員が　パートナーに選ぶことが　多いらしい
222195,rec-179-dup-1,25,11,
209209,id-521,34,9,This Pokémon is intelligent and intensely proud.People will sit up ancl take notice lf you becomethe Trainer of one.
205566,id-172,34,6,"Tritt auch nur eine geringe Menge Elektrizität ausseinem kleinen Backentaschen aus, bekommt eseirien Schlag."
212489,id-729,34,9,"On nights when the sea is calm, Broonne danc3with one another to the singing of the Primarinathat’s leading them."
205545,id-171,34,5,"Il dégage une vive lumière pour éblovlr ses proies,puis leur inflige un choc électrique bien senti."
220510,rec-196-dup-0,,9,By reading air currents it can predict things sucbas the weather or its foes next move.
224385,id-430,23,7,"Si uno lanza un grito profundo, loa demás acuden.Por eso se le llama también Invocador de la Noche."
205983,id-212,,3,몸은 가늘지만 공격력은무시무시하다. 몸의 근육도금속으로 되어 있다.
208417,id-445,,7,Habita en montañas de 9rigen volcánico. Vuelatan rápido como un avión a reacción en busca depresas.
213927,id-828,34,7,Un Pokémon ágil y de afiladas garras que sealimenta de huevos y comicla robados. LosBoltund son su enemig0 natural.
215447,rec-647-dup-1,,11,厳しい　戦いを　潜りぬけて額の　ツノが　鍛えられると真の　力が　目覚めるという
212970,id-761,34,11,襲われた　ときに　流す　汗は甘くて　美味しい。　その　香りがさらに　敵を　増やしてしまうのだ。
223441,id-204,,7,Le gusta engrosar su coraza añadiendo correzas deárbol. El aumento de peso no le molesta.
221942,rec-101-dup-0,23,7,Explotan a la mínima. Por eso se les tiene muchomiedo. Est0s Pokémon feciben el mote de Bomba Ball.
205554,id-172,,4,身形小巧，卻能夠釋放出足以讓成年人麻痺的電擊，但是連牠自己也會嚇一跳。
207188,id-330,34,8,"Viene chiamato anche “spirito del deserto”,poiché il suono del suo battoto d’alu ricordaun bellissimo canto di donna."
219061,rec-520-dup-0,34,9,
217037,rec-36-dup-0,,4,妖精的一種極少出現在人類面前一感覺到有人會立刻逃走
220148,rec-866-dup-1,33,12,踢踏舞的达人会挥动手中的冰杖向观众演轻快的舞步
220146,rec-866-dup-1,33,1,
215527,rec-544-dup-0,34,5,Il se protège avec sa solide carapace et ses épinesempoisonnées tandis quil rassemble lénergienécessaire à son évolution.
218920,rec-3-dup-1,34,5,
218924,rec-3-dup-1,34,9,A bewitching aroma wafts from its flower.The fragrance becalms those engagedin a battle.
204317,id-83,33,7,"Blande el puerro que sujeta con un ala como si setratase de vna espada para rebanar a su rival. Encaso de necesidad, se lo come para nutrirse."
216768,rec-527-dup-0,34,12,一边发出超音波一边飞飞去寻找虫宝可梦来填饱自己的肚子
215298,id-897,,8,"Sonda l’area circostante con tutti i suoi sensi,esclusa la vista. Si narra che chi subisce i suoicalci venga privato dell’anima."
218818,rec-534-dup-0,33,3,같은 성분이라도 노보청이배합한 콘크리트가훨씬 견고하고 튼튼하다.
210049,id-568,34,9,This Pokémon was born from a bag stufded withtrash. Galarian Weezing reoish the fumes belchedby Trubbish.
219423,rec-616-dup-0,34,3,전기 에너지에 반응하는 신비한체질을 지녔다. 딱정곤과 함께있으면 무슨 이유인지 진화한다.
223789,id-286,,11,短い　腕は　パンチを　出すときグーンと　伸びる。プロボクサー顔負けの　テクニックを　持つ。
218712,rec-445-dup-0,33,9,
204586,id-106,34,6,Es kann seine Beine nach Belieben ausfahren undeinziehen und s0 auch entfwrnte Gegner treffen.
216719,rec-815-dup-0,33,5,Il drible avec des oierres pour en fairedes ballons enflammés avant de tirersur ses adversaires pour les brûler.
204536,id-104,33,6,"Denkt Tragosso an seine verstorbene Mutter,so weint es. Sein Schluchzen hallt dabei jn demScgädel auf seinem Kopf klagend wider."
217913,rec-770-dup-0,,3,해변에 살지만 물을 싫어한다.세찬 비를 맞으면성의 형태를 유지하지 못한다.
222112,rec-641-dup-1,,1,トルネロスの　しっぽから　ふきだしたエネルギーが　おおあらしを　おこすみんかを　ふきとばす　パワー
210098,id-571,33,8,Tiene m0lto ai suoi simili e protegge la tanae il branco crdando miraggi spaventosi.
