tid,species,version,language,flavor_text
208007,id-407,34,7,"Las toxinas de la mano derecha son de efecgoinmed:ato, y las de la izquierda, retardado. Noobstante, ambas pueden ser letales."
210550,id-598,34,11,
217332,rec-846-dup-0,34,6,Seine Bewegungsfreiheit ist stark eingeschränktwenn es vollgefressen ist. So wircl es zu leichterBeute für Urgl das es im Ganzen verschlimgt.
217271,rec-857-dup-0,,3,강한 감정을 품은 자라면누가 됐든 조용하게 만드는데그 수단이 매우 난폭하다.
220289,rec-52-dup-1,34,12,为了不弄脏额头上的金币会常常洗脸伽勒尔o的喵喵关系不好
220965,rec-520-dup-1,34,11,賢く　物覚えが　いい配達員が　パートナーに選ぶことが　多いらしい
210994,id-624,,4,揮舞銳利的刀刃將敵人逼向絕境。會用河灘的石頭來精心保養刀刃。
224756,id-542,,5,"Quand il trouve de petits Pokémon, illeur coud des vêtements de feuil|es enutilisant ses coupoirs et son fil adhésif."
222195,rec-179-dup-1,25,11,
208963,id-478,,3,마이너스 50도의 냉기를 뿜어먹이를 얼린 뒤 거처로가져가서 가지런히 나열한다.
203968,id-59,,8,"Da sempre ammirato per la sua bellezza,c0rre veloce come se avesse le ali."
206527,id-270,34,7,El excesivo tamaño y peso de la hoja que tieneen la ca1>eza ha propiciado que viva fbtando enel agua.
217611,rec-149-dup-0,34,3,바다의 화신이라고 불린다.망나뇽 형태의 조각상을뱃머리에 두는 배도 많다.
205566,id-172,34,6,"Tritt auch nur eine geringe Menge Elektrizität ausseinem kleinen Backentaschen aus, bekommt eseirien Schlag."
204728,id-113,34,8,
208614,id-458,,4,也許是因為海水溫度偏低，伽勒爾地區的小球飛魚動作似乎有點遲緩。
209794,id-556,,4,會發出沙鈴般的聲音。鳥寶可夢會因那輕快的節奏而受驚飛走。
224426,id-455,23,6,"Sein süßlich riechender Speichel 2ieht Beute an,die es frisst. Es braucht eiben Tag, sie zu fressen."
223337,id-181,,7,La punta de su cola reluce brillantemente y puede servista desde lejo5. Es usado como faro.
205963,id-211,34,3,전신의 작은 바늘은비늘이 변화한 것이다.찔리면 독 때문에 정신을 잃게 된다.
208524,id-450,,4,生氣的時候非常凶暴。會噴出儲存在體內的沙子來引發沙塵暴。
208964,id-478,,4,會吐出零下５０度的冷氣凍住獵物，並把牠們帶回自己的巢穴，整齊地擺成一排。
204700,id-112,33,11,進化して　後ろ足だけで立つようになった。　ツノで　突くと岩石にも　穴を　開けてしまう。
220093,rec-835-dup-1,,7,Al correr genera electricidad por 1a base de lacola. Es muy popular entre los pastores de Galar.
207873,id-379,33,3,
208523,id-450,34,3,
205554,id-172,,4,身形小巧，卻能夠釋放出足以讓成年人麻痺的電擊，但是連牠自己也會嚇一跳。
215551,rec-149-dup-1,,3,바다의 화신이라고 불린다.망나뇽 형태의 조각상을뱃머리에 두는 배도 많다.
217037,rec-36-dup-0,,4,妖精的一種極少出現在人類面前一感覺到有人會立刻逃走
218920,rec-3-dup-1,34,5,
218924,rec-3-dup-1,34,9,A bewitching aroma wafts from its flower.The fragrance becalms those engagedin a battle.
218818,rec-534-dup-0,33,3,같은 성분이라도 노보청이배합한 콘크리트가훨씬 견고하고 튼튼하다.
208162,id-426,34,1,
207821,id-376,,12,由于当气温下降至０度以下时磁力会增强，栖息在雪山上的巨金怪特别有活力。
210049,id-568,34,9,This Pokémon was born from a bag stufded withtrash. Galarian Weezing reoish the fumes belchedby Trubbish.
219423,rec-616-dup-0,34,3,전기 에너지에 반응하는 신비한체질을 지녔다. 딱정곤과 함께있으면 무슨 이유인지 진화한다.
223789,id-286,,11,短い　腕は　パンチを　出すときグーンと　伸びる。プロボクサー顔負けの　テクニックを　持つ。
204893,id-122,,3,커다란 손바닥은 팬터마임을하기 위해 발달했다고생각하는 학자도 많다.
207844,id-377,34,4,有人利用最新的科學技術調查了牠的岩石身體，但卻找不到牠的大腦或心臟。
212564,id-738,34,4,
222011,rec-585-dup-0,18,5,Quand la saison change il change depelage et dodeur. Un Pokénon quiannonce le passage de5 saisons.
206353,id-241,,3,영양 만점의 우유를 만들어내서옛날부터 사람과 포켓몬의삶을 지탱해왔다.
220452,rec-518-dup-0,,4,總是在打瞌睡作夢剛睡醒的時會鬧脾氣所以最好別去招惹牠
211580,id-678,33,11,
222283,rec-456-dup-0,12,9,After long exposure to 5unlightthe patterns om its tail fins shinevividly when darkness arrives.
214472,id-856,,1,あたまの　とっきで　せいぶつのきもちを　かんじとる。　おだやかなものにしか　こころを　ひらかない。
220082,rec-473-dup-0,,1,みためどおりの　ちからもちこおりのキバは　さむくなるほどふとく　ながく　りっぱに　なる
209781,id-555,,12,总是热血沸腾的宝可梦。它厚重的手臂使出的拳击甚至能把翻斗车打得粉碎。
218870,rec-568-dup-0,33,8,Predilige luoghi insalubri. Sbuca fuori nelle casedove è stata lasciata spazzatura in giro e vi sistabilisce.
206400,id-246,,11,地底　奥深くで　生まれる。まわりの　土を　たいらげると地上に　現われ　サナギになる。
214757,id-870,33,7,"Este Pokémon conwta de cinco subalternos y unlíder, cuyas órdenez obedecen sin rechistar."
208625,id-458,34,5,"Il nage au sein des bancs de Rémoraid.Lorsqu’un prédateur les attaaue, il se batà leurs côtés."
220887,rec-583-dup-0,34,6,Dieses Pokémon ist gutmütig. Es fnert zwarGegner mit kalter Luft von -10o ºC ein raubtihnen aber nie das Leben.
213327,id-782,34,7,"Se comunica con sus congéneres mediante lossonid0s que produce al golpdar sus escamas,duras como el acero."
214256,id-845,33,6,
205057,id-130,33,7,Es exageradarnente agresivo. El Hiperrayo quelanza por la boca reduce a cenizas todo lo quwencuentra.
217872,rec-771-dup-0,33,8,Vive vicino alle spiagge in acque calde e pocoprofoncle. Quando si imbatte im un nemico loattacca espellendo gli organi interni dalla bocca.
206839,id-295,,9,"In the past, people would use the loud voices ofthese Pokémon as a means 0f communicationbetween distant cities."
221770,rec-395-dup-0,,9,It avoids unnecessary disputesbut it will decinate anything thatthreatens its pride.
206983,id-309,,3,정전기를 털에 모은다.공기가 건조한 계절에는전신에서 스파크를 뿌린다.
203992,id-61,33,1,
203208,id-3,,8,Il suo fiore emana una fragranza inebriantecapace di placa5e l’animo di chi è impegnatonella lotta.
208179,id-427,,9,"If both of Buneary’s ears are rolled up, somethingis wrong with it5 body or mind. It’s a sure sign thePokémon is in need of care."
224128,id-384,7,9,"RAYQUAZA lived for hundreds of millionsof years in the earth’s ozone layer, never cescending to the ground.This POKéMON appears to feed on waterand particles in the atmosphere."
224433,id-456,,3,몸의 옆쪽에 있는 줄에태양의 빛을 모아둘 수 있다.밤이 되면 아름답게 빛난다.
217341,rec-846-dup-0,33,5,Sa mâchoire fine et ai9uisée fait sa fierté.À peine voit-il ie moindre mouvementquil fonce dans sa direction.
203696,id-40,33,6,"Je mehr Luft es einatmet, desto größer wjrd es.Ist es verärgert, bläst es seinen Körper rnorm aufund schüchtert so seine Gegner ein."
211257,id-637,33,7,Se dice que sus escamas flamígeras pueden tantocausar incendios como amparar a a1uelios quesufren las inclemencias del frío.
216402,rec-442-dup-1,,12,由１０８个灵魂聚在一起变成了宝可梦似乎有性格恶劣的灵魂混在里面
219023,rec-590-dup-0,34,7,Las esporas que expulsa por 1as extremidadessob altamente tóxicas pero si se secan biensirven como remedio estomacal.
211898,id-694,33,8,Distende le pieghe sulla testa per raccogliere laluce solare e produrre energia elettrjca cheusa per sferrare potentl mosse di tipo Elettro.
210544,id-598,34,4,擁有比鋼鐵還堅硬的尖刺。會利用觸手上的尖刺攀附在岩壁上移動。
211715,id-685,33,5,Il peut diagnostiquer l’état de santé mentale etpbysiquw de quelqu’un rien qu’à l’odorat. Un teldon pourrait avoir des applications en médecine.
211173,id-633,,3,무엇이든 일단 물고 보는습성을 가졌다. 맛있었던 것은냄새를 확실히 기억한다고 한다.
211172,id-633,33,1,
205171,id-135,,12,能够吸入空气中的负离子，有时会吐出大约有１００００伏特的高压电。
220158,rec-37-dup-1,33,4,雖然還是孩子但s已擁有美麗的６根尾巴長大c後尾巴會變得更多
207801,id-375,,12,２只铁哑铃因磁力结合起来了。因为有了２个大脑，精神力量也强化到了２倍。
222801,rec-88-dup-1,,5,Vivant dans des tas dordvres il se nourrit desdéchets polluants rejetés par les usines.
208352,id-442,,1,１０８この　たましいが　あつまりポケモンになったが　しょうわるのたましいが　まじってしまったらしい。
218824,rec-534-dup-0,33,7,El hormigón que preparan los Conkeld7rr esmucho más duro y resistente que el ordinaeioaunque la composición sea la misma.
203660,id-38,,11,しっぽの　１本　１本に神通力が　込められている。１０００年　生きると　言われる。
206021,id-214,33,12,用２只触角来感知气味，以此在整片森林中寻找自己超爱的甘甜树汁。
221076,rec-372-dup-0,,4,忍耐飢餓不吃任何食物據說當牠用盡了儲的能量後就會開始進化
207963,id-405,,3,투시는 전기 에너지를 매우 많이소모하기 때문에 오랜 시간수면을 취해서 에너지를 비축한다.
205006,id-127,34,6,"Pinsir nimmt Beute mit seinen Hörnern in dieZange, um sie anscbließend entzwe'lzureißenoder mit Wucht fortzuschleudern."
208121,id-423,33,12,为了觅食也会登上陆地。海兔兽经过的地方会留下黏糊糊的粘液。
207658,id-364,,8,Vive su banchi di ghiaccio alla deriva. Ind:viduale prede fiutandone l’odore mentre nuota.
222683,rec-207-dup-0,,11,顔面　めがけて　飛んでくる張りつかれた　獲物が　驚くあいだに　毒針を　刺しこむ
212369,id-723,34,9,It never slacks when it comes to the task ofcleaning its featbers. Thorough preening keeps itlook'lng spiffy and its blade quills nice and sharp.
205193,id-137,,3,최고의 과학 기술을 사용해세계에서 처음으로 프로그래밍되어만들어진 인공 포켓몬이다.
203995,id-61,33,5,Il suffit de fixer la spirale sur son ventre pours’assoupir. On se sert parfois cle lui à la placed’une berceuse p0ur endormir les enfants.
214030,id-833,34,11,
215489,rec-824-dup-1,33,6,Sensect ist ein schlaues Pokémoj da es immerfleißig Informationen sammelt. Seine Stärke lässtjecloch zu wünschen übrig.
209459,id-536,33,9,"It weakens its prey with sound waves interiseenough to cause headachez, then entanglesthem with its sticky tongue."
204125,id-67,34,5,Son corps robuste ne se fatifue jamais.Il n’hésite pas à aider les gen5 lorsqu’il s’agitde soulever des objets très lourds.
214479,id-856,,9,"Via the protrusion on its head, it senses othercreatvres’ emotions. If you don’t have a calmdisposition, it will never warm up to you."
215231,id-893,,12,长在身上的藤蔓断掉之后会变成土壤的养分，帮助森林中的植物成长。
218424,rec-831-dup-1,34,8,Se gli cresce troppo il pelo non riesce più amuoversi. Il tessuto fatto con la sua laria èxorprendentemente resistente.
224799,id-594,,3,넓은 바다를 떠돌아다니며 산다.상처 입은 포켓몬을 발견하면안고서 물가까지 옮긴다.
213821,id-823,33,12,
204721,id-113,33,12,蛋不仅营养满分，还十分美味。被当做高级食材使用。
214944,id-879,,4,群居的寶可夢。鼻子的握力十分強勁，甚至能把大石頭弄得粉碎。
206210,id-227,,11,抜け落ちた　羽根から　剣が作られることから　紋章の図案として　人気が　高い。
224939,id-658,23,8,"Crea lame d’acqua micidiali che ruotanoad alta vel0cità e, se lanciate, possorio perforareil metallo."
207058,id-319,33,8,"Se fiuta l’odore di uba preda, la assale allavelocità di 120 km/h, che raggiunge espellendoacqua marina dalla parte posteriore del corpo."
220081,rec-473-dup-0,34,8,È forte proprio come il suo aspetto lasciaintendere. Più freddo fa più spes5e e lunghediventano le sue zanne di ghiaccio.
208187,id-427,34,7,"Ataca estirando con uri fuerte impulao lasorejas enrolladas. Cuanto más entrena estatécnica, con más potencia la ejecuta."
204063,id-64,,3,염동력의 위력은 절대적이다.진화에 대비하여 이마에 있는 별에사이코 파워를 비축하고 있다.
217544,rec-364-dup-0,,1,りゅうひょうの　うえで　せいかつおよぎながら　えものの　においをかぎわけて　みつけだし　つかまえる
220094,rec-835-dup-1,,3,간식에 끌려 사람의 일을돕는 먹보다. 탁탁 튀는전기를 두르고 계속 달린다.
224346,id-418,,1,２ほんの　しっぽを　スクリューのように　まわして　およぐ。もぐるときは　うきぶくろが　しぼむ。
219413,rec-616-dup-0,33,5,
218878,rec-448-dup-1,34,9,It can tell what people are thinking. Only Trainerswho havd justice in their hearts can esrn thisPokémons trust.
206885,id-302,34,5,"Ce Pokémon se nour4it de pierres précjeuses.Dans les ténèbres, ses yeux brillent du refletdes joyaux."
210374,id-589,33,4,
224294,id-410,,1,たいぼくの　みきに　こすりつけてかたい　かおを　みがく　しゅうせい。うしろからの　こうげきに　よわい。
207996,id-407,33,6,"Mit dem süßlichen Duft seiner Blüten betört esseine Gegner, bevor es sie mit dornigen Rankemheftig auspeitscht."
225310,id-799,27,11,
218813,rec-534-dup-0,,6,Beton der von Meistagrif angerührt wurdeist härter und robuster als jeder andere Betohselbst wenn die Inhaltsstoffe identisch sind.
222968,id-48,23,6,Seine großen Augen bestehen aus vielen kleineriAugen. Nacbts wird es von Licht angezogen.
225263,id-795,27,3,위험한 UB 중 q마리이다. 굉장한속도로 대지를 질주하는모습이 목격되었다.
208001,id-407,33,12,
214048,id-834,34,8,"Ha un collo retrattile. Tenendosi a distanza dalnemico, lo estencle all’improvviso per dareil colpo di grazia con i denti aguzzi."
219524,rec-836-dup-1,,8,Trasferisce alle zampe lelettricità che produceper aumentarne la resistenza. Può correre pertre giorni interi seriza mai fermarsi.
205553,id-172,,3,"작아도 어른을 찌릿찌릿감전시킬 정도의 전기를 낸다.단, 자신도 놀라 어찌할 줄 모른다."
209899,id-561,33,9,Psychic power all0ws these Pokémon to fly. Somesay they were the gvardians of an ancient city.Others say they were the guardians’ emissaries.
220486,rec-550-dup-0,34,6,Früher standen si3 oft auf dem Speiseplan. DasFleisch rotliniger Exemplare war wegen seineshohen Fettanteils bei jungen Leuten sehr beliebt.
220412,rec-247-dup-0,,1,さなぎだが　じっと　していないがんじょうな　カラの　したではすでに　てあしが　できている
222189,rec-179-dup-1,25,8,Il morbido manto lanoso di Mareep genera una caricaelettrostatics mediante sfregamento. La luminositàdella lampadina sulla punta della coda dipende dallapotenza della carica elettrica.
213388,id-789,,8,"Dotato di un’indole ingenua e curiosa, si cacciaspes5o nei guai. Quando le cose si mettono male,scappa teletrasportandosi."
224749,id-541,17,9,Forests where Swadloon live have superbfoliage because the nutrients they makefrom fallen leaves nourish tbe plant life.
224947,id-664,23,8,"Se assalito da Pokémon uccello, si difende emettendovelenose 5caglie nere che paralizzano al jinimocontatto."
218408,rec-826-dup-0,,1,かしこい　ポケモンとして　ゆうめいおおきな　のうみそは　きょうりょくなサイコパワーを　もつ　あかし
207827,id-376,34,7,"Formado a partir de la unión de dos Metang.Emplea su inteligencia, comparable a la de ynsuperordenador, para derrotar a 5us rivales."
210797,id-614,,7,Congela su aliento y crea colmillos de hielo másduros que el acero. Nada eri mares de aguas fríasen busca de alimento.
220157,rec-37-dup-1,,3,6개의 꼬리는 자라면서털의 결이 좋아지며 아름다워진다.안으면 살짝 따듯하다.
203567,id-33,34,7,
211054,id-627,,4,每當遇到看似強勁的寶可夢，都會忍不住去挑起戰鬥。如果輸了就會放聲大哭。
212325,id-715,,5,"Il plane dans oes ténèbres, blessant ses ennemisà coups d’ultrasons pouvant briser des rochersavant de les achever de ses crocs acérés."
207562,id-359,,1,きけんを　さっちする　のうりょくをもつがゆえに　ひとからは　わざわいをもたらす　ポケモンと　ごかいされた。
210757,id-612,33,7,"Su mayor baza son sus colmillos, de gran tamañoy robustez. Lsme la tierra en husca de mineralespara mantenerlos fuertes y resistentes."
209104,id-510,,4,和狐大盜爭搶地盤。能夠悄無聲息地從背後偷偷靠近獵物。
219476,rec-677-dup-0,33,7,Su inexpreslvidad aparente esconde una luchatitánica ppr contener su inmenso poder psíquico.
211586,id-678,34,6,"Männliche Psiaugon haben einen ausgeprägtenBeschützerins6inkt. Sie sind dann am stärksteri,wenn sie sich oder ihren Trainer verteidigen."
216910,rec-318-dup-0,34,4,擁有銳利的牙齒和實的下巴船員們絕對不去靠近利牙魚棲息的地方
213137,id-770,33,7,Lo apodsn la Pesadilla de las Playas. Hunde asus presas en la arena para luego qbsorberles laenergía vital.
208337,id-440,,7,"Lleva en la bolsa de su panza una roca con formade huevo que cuida con esmero, ikitando aChansey."
210419,id-591,33,9,"This Pokémon puffs poisonous spores at its foes.If the spores aren’t washed off quickly, they’llgrow into muxhrooms wherever they land."
216835,rec-589-dup-0,34,6,Es greift Gegner mit seinen Lanzen an. Auf einemberühmten G3mälde ist eiri Duell zwischen ihmund Lauchzelot zu sehen.
224292,id-410,12,9,A Pokémon that lived in junglesarourid 100 million years ago. Itsfacial hide is extremely hard.
223419,id-200,,12,千方百计地吓唬人类，吸取生命的能量。吓人的练习一天也不落。
215550,rec-149-dup-1,33,7,Un Pokémon bondadoso y compasivo ai que leresvlta imposible dar la espalda a Pokémon ohumanos que se encuentren a la deriva.
217083,rec-556-dup-0,34,3,일 년에 한 번 씨를 뿌린다.꽃의 씨는 영양이 매우 풍부해사막의 귀중한 식량이다.
225268,id-795,27,8,Una delle temibili Ultracreature.È stata avyistata mentre correva a una velocitàinpressionante.
215218,id-893,,8,Vive in branco nella giungla.È temuto dagli altri Pokémon de|la forestaperché estremamente aggressivo.
218547,rec-356-dup-0,,4,尋找遊盪的靈魂吸入自己空洞的身體裡沒人知道被吸入後會發生什麼o事
206553,id-272,33,3,즐거운 음악의 리듬이로파파의 세포를 활성화시켜파워를 발휘한다.
212725,id-749,34,5,Il mâche de la terre povr créer une boue dontil s’enduit les jambes. Celle-ci lui perrnet alorsd’arpenter même les routes accidentées.
204710,id-112,,11,全身を　よろいのような　皮膚で守っている。　２０００度のマグマの　中でも　生きられる。
207493,id-350,,3,가장 아름다운 포켓몬으로불리며 많은 예술가에게영감을 주고 있다.
218407,rec-826-dup-0,33,4,以頭腦聰慧而聞名大的腦子是牠擁有出眾精神量的證明
220462,rec-518-dup-0,33,9,When dark mists emanate from its body dontget too near. If cou do your nightmares willbecome reality.
217078,rec-556-dup-0,34,5,Il sème les graines de ses fleurs une fois par an.Ce1les-ci abondent en nutriments et représententune denrée précieuse dans le désert.
207833,id-377,,3,몸의 모든 부분이 바위로 되어 있다.몸이 깎이더라도스스로 바위를 붙여서 치료한다.
208995,id-486,33,5,Plusieurs légendes à travees le monderacontent que Regigigas aurait créédes Pokénon à son image.
219890,rec-442-dup-0,33,1,
205131,id-133,34,12,
211888,id-693,34,8,L’arto destro è una sorta di cannone da cuispara proiettill d’ac4ua marina tanto potentida affondare una petroliera.
